job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00035,Speech Recognition Engineer,147389,USD,MI,FL,Sweden,L,Singapore,0,"Kubernetes, Python, TensorFlow",PhD,8,Consulting,2024-10-26,2024-12-25,1567,8.5,Smart Analytics
AI00036,Head of AI,125218,USD,EX,CT,Finland,L,Netherlands,0,"Python, Machine Learning, SQL, Data Analysis, Linux",Associate,10,Finance,2024-01-31,2024-02-26,1222,10.0,Autonomous Tech
AI00037,AI Architect,55453,USD,MI,PT,Japan,M,Japan,89,"System Design, Cloud Architecture, Kubernetes, Microservices",Associate,2,Telecommunications,2024-10-17,2024-11-12,1120,5.6,TechCorp Inc
AI00038,Robotics Engineer,112298,USD,MI,CT,Spain,S,Spain,10,"Python, CI/CD, Git",Master,18,Government,2024-01-14,2024-03-12,965,7.2,Autonomous Tech
AI00039,AI Specialist,39463,USD,SE,PT,China,M,China,67,"Linux, Python, AWS, Data Analysis, SQL",Bachelor,1,Healthcare,2024-06-15,2024-07-29,2217,8.1,Future Systems
AI00040,Data Engineer,168001,EUR,MI,FL,Netherlands,L,Netherlands,82,"Python, Kubernetes, PyTorch",Associate,15,Government,2024-03-01,2024-05-01,1003,4.6,DeepTech Ventures
AI00041,Data Scientist,99694,USD,SE,FT,United States,M,China,0,"PyTorch, Statistics, Deep Learning, Experiment Design",Bachelor,2,Telecommunications,2024-02-24,2024-03-09,659,5.4,DataVision Ltd
AI00042,AI Architect,198790,USD,MI,FL,United States,L,United States,54,"Cloud Architecture, System Design, Kubernetes",Bachelor,8,Finance,2025-03-17,2025-04-16,2210,6.8,DataVision Ltd
AI00043,AI Specialist,60621,USD,EN,PT,Finland,L,Finland,100,"Linux, Machine Learning, AWS, Data Analysis, Python",Associate,1,Telecommunications,2025-02-01,2025-04-11,522,6.0,Quantum Computing Inc
AI00044,Machine Learning Researcher,115671,USD,SE,FT,Singapore,M,Singapore,48,"Python, Experimentation, Machine Learning",Associate,8,Retail,2024-04-24,2024-06-12,1193,8.0,AI Innovations
AI00045,Generative AI Engineer,161516,EUR,EN,PT,Netherlands,M,Netherlands,55,"Git, AWS, PyTorch",Bachelor,5,Media,2025-03-03,2025-05-03,2071,7.6,Future Systems
AI00046,AI Research Scientist,170419,USD,MI,CT,United States,M,Singapore,38,"Experiment Design, Data Analysis, Deep Learning, Research",Associate,7,Media,2024-01-10,2024-03-22,1259,5.6,DeepTech Ventures
AI00047,AI UX Designer,40892,USD,MI,CT,India,S,India,48,"Prototyping, Figma, Usability Testing",PhD,1,Manufacturing,2024-11-16,2024-12-18,1998,9.1,Quantum Computing Inc
AI00048,AI Software Engineer,64084,USD,EN,FL,China,L,China,14,"Git, Python, Linux, CI/CD, PyTorch",Bachelor,4,Energy,2024-09-05,2024-10-25,1512,8.9,TechCorp Inc
AI00049,Prompt Engineer,290769,USD,SE,PT,Switzerland,S,Switzerland,0,"PyTorch, Docker, SQL",Bachelor,12,Manufacturing,2024-08-08,2024-09-23,2049,8.0,Cognitive Computing
AI00050,AI Consultant,125591,USD,MI,FL,Austria,M,Finland,34,"Data Analysis, Linux, Python, Machine Learning, SQL",PhD,19,Media,2025-03-10,2025-05-17,1597,7.1,Autonomous Tech
AI00051,AI Architect,70937,EUR,MI,FT,Germany,S,Germany,0,"AWS, Cloud Architecture, Security, Kubernetes, System Design",PhD,4,Government,2024-08-16,2024-10-19,1894,9.8,TechCorp Inc
AI00052,Research Scientist,117059,USD,MI,FT,India,M,India,100,"Data Analysis, Experiment Design, Python, PyTorch, Deep Learning",Master,17,Technology,2024-03-12,2024-04-14,1958,5.2,Autonomous Tech
AI00053,Research Scientist,110200,USD,MI,PT,United States,S,United States,87,"Mathematics, Experiment Design, PyTorch, Statistics",Associate,3,Gaming,2024-02-24,2024-05-02,2094,5.0,Cognitive Computing
AI00054,AI Safety Researcher,133368,USD,MI,PT,Norway,S,Norway,99,"Academic Writing, Experimentation, Python",PhD,8,Consulting,2024-07-07,2024-09-09,1121,7.4,DataVision Ltd
AI00055,AI Research Engineer,65892,USD,MI,PT,Spain,S,Spain,62,"Python, PyTorch, SQL, Git",Master,4,Media,2024-08-05,2024-08-26,1680,8.2,Quantum Computing Inc
AI00056,AI Architect,90014,USD,SE,PT,Canada,L,Canada,0,"Security, AWS, Cloud Architecture, System Design, Microservices",Associate,3,Real Estate,2024-07-29,2024-09-27,1543,10.0,Autonomous Tech
AI00057,Autonomous Systems Engineer,75157,USD,MI,FL,India,L,India,100,"Linux, CI/CD, PyTorch, Git",Associate,4,Automotive,2024-09-28,2024-10-26,1307,5.9,Autonomous Tech
AI00058,Machine Learning Engineer,60030,USD,MI,PT,Spain,L,Spain,100,"Docker, PyTorch, AWS, Kubernetes, Git",PhD,0,Finance,2025-03-22,2025-05-01,1950,7.9,Advanced Robotics
AI00059,Machine Learning Engineer,85133,EUR,EN,FT,Germany,M,Germany,10,"Linux, Kubernetes, Docker, Git, Python",Associate,4,Transportation,2024-02-09,2024-03-06,937,8.7,AI Innovations
AI00060,AI Software Engineer,112412,GBP,SE,FL,United Kingdom,S,France,0,"PyTorch, Kubernetes, TensorFlow",Associate,8,Media,2024-03-20,2024-05-05,1826,8.7,TechCorp Inc
AI00061,Data Scientist,50153,USD,MI,FT,China,M,China,13,"PyTorch, Deep Learning, Mathematics",Associate,1,Finance,2024-06-22,2024-08-14,1845,10.0,Predictive Systems
AI00062,Data Scientist,165078,USD,MI,PT,Norway,S,Norway,65,"Python, Statistics, Experiment Design",Bachelor,6,Finance,2024-06-05,2024-07-01,1828,6.4,Neural Networks Co
AI00063,AI Consultant,106811,USD,MI,PT,Switzerland,M,Switzerland,10,"Python, Machine Learning, AWS, Linux, SQL",PhD,3,Education,2024-03-23,2024-06-03,2256,5.6,Smart Analytics
AI00064,Generative AI Engineer,99995,USD,EN,PT,Australia,M,Canada,50,"Docker, Git, SQL",PhD,4,Technology,2024-02-20,2024-03-15,880,7.6,Cloud AI Solutions
AI00065,Data Engineer,63499,USD,SE,CT,South Korea,L,South Korea,0,"TensorFlow, Docker, Git",Bachelor,0,Manufacturing,2024-12-15,2025-02-11,1071,7.8,Machine Intelligence Group
AI00066,AI Specialist,85941,USD,EX,FT,Ireland,S,Ireland,100,"Python, SQL, Machine Learning, Data Analysis, AWS",PhD,8,Education,2024-12-15,2025-02-12,539,8.6,Machine Intelligence Group
AI00067,Model Evaluation Engineer,67056,USD,EN,FL,Spain,L,Spain,0,"Docker, Linux, SQL, TensorFlow",Associate,4,Retail,2024-09-01,2024-10-29,1057,9.7,Advanced Robotics
AI00068,Computational Linguist,318643,USD,MI,PT,Denmark,M,Canada,0,"Python, Data Analysis, SQL, Machine Learning, Linux",Associate,12,Finance,2025-02-09,2025-02-23,2373,7.3,Digital Transformation LLC
AI00069,Machine Learning Researcher,74763,EUR,SE,PT,Germany,M,Germany,100,"Statistics, Machine Learning, Python",Bachelor,0,Gaming,2024-08-30,2024-09-15,582,9.1,Quantum Computing Inc
AI00070,Principal Data Scientist,77918,EUR,MI,FT,France,L,France,84,"Experiment Design, Mathematics, Deep Learning",Associate,3,Technology,2024-10-31,2024-12-15,650,8.8,Cognitive Computing
AI00071,NLP Engineer,56761,USD,MI,FL,Spain,M,Singapore,100,"Docker, Kubernetes, CI/CD, Python, AWS",Bachelor,4,Healthcare,2024-02-14,2024-04-02,1000,9.5,Neural Networks Co
AI00072,Autonomous Systems Engineer,124201,EUR,MI,FL,France,S,France,86,"Git, CI/CD, TensorFlow, Docker, Python",Master,7,Real Estate,2024-05-31,2024-06-19,745,8.7,Algorithmic Solutions
AI00073,Machine Learning Researcher,126665,USD,SE,FL,Norway,S,Norway,51,"Statistics, Academic Writing, Machine Learning, Experimentation",Associate,3,Real Estate,2024-08-02,2024-10-01,2025,9.9,Cognitive Computing
AI00074,Autonomous Systems Engineer,138512,GBP,EX,PT,United Kingdom,S,United Kingdom,67,"Kubernetes, AWS, Docker, CI/CD",PhD,9,Retail,2024-11-29,2025-01-09,2375,7.2,Machine Intelligence Group
AI00075,Generative AI Engineer,52867,USD,SE,PT,Sweden,S,Finland,93,"Linux, PyTorch, Python",PhD,0,Consulting,2025-04-08,2025-05-13,1791,7.5,Digital Transformation LLC
AI00076,Data Engineer,57250,USD,MI,FL,Singapore,M,Singapore,100,"Docker, Python, Linux",Master,0,Energy,2024-11-16,2025-01-25,1291,4.9,DeepTech Ventures
AI00077,AI Product Manager,214128,USD,EN,FT,Canada,S,Canada,100,"Stakeholder Communication, Roadmapping, Strategy",Bachelor,16,Energy,2024-09-19,2024-10-06,2395,8.0,Quantum Computing Inc
AI00078,ML Ops Engineer,59009,USD,EX,FL,Spain,M,Spain,43,"AWS, Docker, Linux, Kubernetes, Python",Associate,2,Finance,2024-06-10,2024-08-13,1528,7.4,DataVision Ltd
AI00079,Computer Vision Engineer,118463,USD,EN,CT,India,L,India,5,"CI/CD, Git, Docker",PhD,6,Technology,2024-04-20,2024-06-08,1157,5.3,Autonomous Tech
AI00080,AI Research Scientist,279709,USD,EN,CT,United States,M,United States,0,"Experiment Design, Deep Learning, Python",Master,12,Consulting,2025-02-13,2025-03-10,2227,7.4,TechCorp Inc
AI00081,Data Analyst,156771,EUR,EN,CT,France,L,France,57,"Data Visualization, Excel, Statistics, SQL",Bachelor,17,Manufacturing,2024-08-31,2024-09-15,632,8.6,Neural Networks Co
AI00082,Generative AI Engineer,197756,USD,SE,CT,Australia,L,Australia,100,"Linux, Docker, AWS, Python, Git",Master,19,Gaming,2024-04-01,2024-04-16,909,7.9,TechCorp Inc
AI00083,Machine Learning Researcher,210110,USD,MI,CT,Canada,M,Canada,7,"Experimentation, Machine Learning, Academic Writing, Statistics",PhD,10,Energy,2024-02-05,2024-03-11,2190,6.8,Cognitive Computing
AI00084,NLP Engineer,68462,USD,EN,FL,Sweden,S,Sweden,62,"Git, Kubernetes, Linux",PhD,3,Automotive,2024-06-20,2024-08-12,956,7.6,TechCorp Inc
AI00085,ML Ops Engineer,122620,USD,EN,FL,Finland,L,Finland,100,"Docker, TensorFlow, PyTorch",PhD,13,Telecommunications,2024-06-19,2024-08-22,745,9.7,TechCorp Inc
AI00086,NLP Engineer,70072,USD,MI,FT,Denmark,M,Denmark,65,"Kubernetes, SQL, Python, AWS, TensorFlow",Associate,0,Finance,2024-07-14,2024-09-08,842,7.1,Machine Intelligence Group
AI00087,AI Safety Researcher,34269,USD,MI,CT,Spain,S,India,49,"Python, Academic Writing, Statistics, Machine Learning, Experimentation",Bachelor,0,Manufacturing,2025-04-16,2025-06-15,1259,7.0,Future Systems
AI00088,AI Specialist,66714,USD,MI,FT,United States,S,United States,100,"Machine Learning, Linux, Data Analysis, AWS, Python",Associate,0,Transportation,2025-02-15,2025-04-15,1559,7.1,Smart Analytics
AI00089,Recommendation Systems Engineer,153309,EUR,MI,FL,France,M,France,48,"Kubernetes, Python, Git, TensorFlow",Master,11,Automotive,2024-05-20,2024-07-14,1372,7.4,AI Innovations
AI00090,AI Software Engineer,78300,EUR,SE,CT,France,L,France,64,"Kubernetes, Git, CI/CD",PhD,0,Real Estate,2024-11-19,2024-12-07,931,7.0,Digital Transformation LLC
AI00091,Research Scientist,44995,USD,SE,PT,Canada,S,Canada,100,"PyTorch, Experiment Design, Deep Learning",Bachelor,0,Automotive,2025-03-10,2025-05-14,1073,5.3,Predictive Systems
AI00092,Data Analyst,96331,EUR,EN,CT,France,S,France,35,"SQL, Power BI, Tableau",PhD,8,Technology,2024-06-19,2024-07-16,2443,5.8,Algorithmic Solutions
AI00093,Principal Data Scientist,130200,USD,EX,FL,Singapore,S,Singapore,0,"Data Analysis, Python, PyTorch, Statistics",Bachelor,9,Finance,2025-04-26,2025-06-15,2486,6.9,Neural Networks Co
AI00094,AI Research Scientist,113037,USD,SE,FL,United States,L,United States,13,"Mathematics, Deep Learning, Experiment Design",PhD,3,Real Estate,2024-03-01,2024-05-08,1365,9.8,Predictive Systems
AI00095,Machine Learning Researcher,137171,USD,MI,PT,Canada,S,Canada,37,"Academic Writing, Experimentation, Statistics, Machine Learning, Python",Master,19,Education,2024-07-10,2024-09-15,1613,9.3,DeepTech Ventures
AI00096,Prompt Engineer,97944,USD,SE,FT,Spain,M,Spain,33,"Kubernetes, PyTorch, Docker",Bachelor,8,Manufacturing,2024-04-10,2024-05-03,709,8.0,Cognitive Computing
AI00097,Data Analyst,111402,EUR,MI,FT,France,S,France,0,"Tableau, Power BI, Excel",Bachelor,6,Technology,2025-04-05,2025-06-13,2130,5.9,Predictive Systems
AI00098,AI Research Engineer,88279,USD,SE,FT,Canada,M,Canada,2,"PyTorch, AWS, CI/CD, TensorFlow, Python",Master,4,Real Estate,2024-12-04,2025-01-03,1957,6.8,Machine Intelligence Group
AI00099,Machine Learning Researcher,292243,USD,EN,CT,Switzerland,L,Denmark,32,"Machine Learning, Python, Academic Writing, Statistics",Master,12,Retail,2025-01-12,2025-03-07,1190,5.4,Smart Analytics
AI00100,AI Research Scientist,196525,USD,MI,CT,United States,L,United States,19,"Data Analysis, Research, Deep Learning, Mathematics, Experiment Design",PhD,8,Transportation,2024-04-20,2024-06-22,897,9.3,Advanced Robotics
AI00101,Cognitive AI Scientist,193254,USD,SE,FT,Norway,L,Norway,92,"Python, Data Analysis, Research",Associate,9,Consulting,2025-01-02,2025-03-11,513,6.2,Cognitive Computing
AI00102,AI Product Manager,136323,USD,EN,PT,Spain,L,Spain,98,"Project Management, Agile, Leadership, Strategy, Roadmapping",Associate,16,Government,2024-01-25,2024-04-04,1622,10.0,Smart Analytics
AI00103,Data Analyst,91850,EUR,MI,CT,Netherlands,M,Netherlands,93,"Excel, Tableau, Statistics, SQL",Bachelor,3,Transportation,2024-01-27,2024-02-28,857,6.3,Algorithmic Solutions
AI00104,Computer Vision Engineer,90674,USD,MI,FT,Sweden,S,Sweden,0,"CI/CD, AWS, PyTorch",PhD,3,Real Estate,2024-07-21,2024-09-27,617,5.6,Digital Transformation LLC
AI00105,Computational Scientist,219888,GBP,SE,FT,United Kingdom,S,United Kingdom,98,"Experiment Design, Python, Statistics",Master,13,Healthcare,2025-03-03,2025-04-03,1205,7.5,Cloud AI Solutions
AI00106,NLP Engineer,62935,USD,EN,FT,Japan,S,Japan,0,"AWS, PyTorch, CI/CD, Git",Bachelor,2,Consulting,2024-09-15,2024-11-07,2061,7.7,AI Innovations
AI00107,AI Research Scientist,153493,USD,MI,FL,South Korea,L,United Kingdom,68,"Experiment Design, Mathematics, Data Analysis, Deep Learning",Associate,16,Automotive,2024-01-28,2024-03-17,581,8.5,TechCorp Inc
AI00108,ML Ops Engineer,97737,USD,SE,FT,Norway,M,Norway,92,"AWS, PyTorch, Python",Associate,2,Retail,2024-03-20,2024-04-20,2391,6.6,Predictive Systems
AI00109,Deep Learning Engineer,85035,EUR,MI,FL,France,S,France,100,"TensorFlow, Linux, Python, AWS",PhD,2,Government,2024-12-13,2025-02-24,1536,6.4,AI Innovations
AI00110,AI Specialist,61356,USD,MI,PT,Spain,M,Spain,9,"Data Analysis, SQL, Linux, AWS, Python",Master,2,Transportation,2024-09-04,2024-10-10,2495,9.6,TechCorp Inc
AI00111,Training Data Engineer,205806,USD,SE,PT,United States,S,United States,100,"Python, AWS, PyTorch, Linux",Bachelor,18,Education,2024-03-08,2024-05-13,1786,6.2,Predictive Systems
AI00112,AI Architect,163835,EUR,MI,CT,France,S,France,63,"Microservices, Cloud Architecture, Kubernetes, AWS",Associate,18,Government,2024-05-13,2024-06-25,994,6.8,Neural Networks Co
AI00113,Computer Vision Engineer,117421,EUR,SE,CT,France,M,France,87,"CI/CD, AWS, TensorFlow, PyTorch",Bachelor,9,Telecommunications,2024-03-18,2024-04-20,1676,8.8,Algorithmic Solutions
AI00114,Data Scientist,147072,EUR,EN,FL,France,L,France,56,"Python, Data Analysis, Deep Learning, Research, PyTorch",Master,6,Real Estate,2024-03-13,2024-05-10,1068,8.6,Digital Transformation LLC
AI00115,Machine Learning Researcher,113830,EUR,EN,FL,Germany,S,Germany,60,"Experimentation, Statistics, Python",Bachelor,7,Technology,2024-08-14,2024-09-06,777,8.2,Future Systems
AI00116,NLP Engineer,65052,USD,EN,FL,United States,M,Ireland,94,"Docker, Kubernetes, Linux, SQL, TensorFlow",Bachelor,0,Retail,2024-06-04,2024-07-16,1860,6.4,Autonomous Tech
AI00117,ML Ops Engineer,47826,USD,EN,FT,Austria,L,Austria,82,"TensorFlow, SQL, AWS, Python, Docker",Master,0,Gaming,2024-08-11,2024-10-02,2191,7.0,DataVision Ltd
AI00118,Data Analyst,63560,USD,MI,FL,Ireland,S,Ireland,65,"SQL, Tableau, Statistics",Associate,7,Retail,2024-10-22,2024-11-06,564,9.2,Smart Analytics
AI00119,AI Software Engineer,229774,USD,EN,FL,Singapore,M,Singapore,39,"AWS, Docker, SQL, Git, Python",Bachelor,17,Consulting,2024-04-15,2024-06-03,806,8.0,Neural Networks Co
AI00120,AI Product Manager,103993,USD,MI,FT,Australia,M,South Korea,98,"Roadmapping, Project Management, Stakeholder Communication, Strategy",Bachelor,9,Automotive,2024-05-18,2024-06-25,1216,5.7,Algorithmic Solutions
AI00121,AI Specialist,121377,USD,SE,FL,Austria,L,Austria,0,"Data Analysis, SQL, AWS, Machine Learning, Python",Master,9,Media,2025-01-06,2025-02-01,591,8.5,Quantum Computing Inc
AI00122,Principal Data Scientist,70485,USD,SE,PT,China,L,Netherlands,46,"Mathematics, Deep Learning, PyTorch, Research, Experiment Design",PhD,0,Retail,2025-03-26,2025-04-13,1692,8.2,Smart Analytics
AI00123,Machine Learning Engineer,128556,USD,MI,CT,Singapore,L,Singapore,63,"Kubernetes, PyTorch, CI/CD",PhD,4,Automotive,2024-06-20,2024-08-25,1120,6.8,DataVision Ltd
AI00124,Machine Learning Researcher,177529,USD,MI,FT,Austria,L,Austria,15,"Academic Writing, Machine Learning, Statistics, Experimentation",PhD,14,Technology,2025-04-19,2025-05-14,2380,8.5,DeepTech Ventures
AI00125,Machine Learning Researcher,119159,USD,MI,FL,Denmark,L,Denmark,0,"Statistics, Experimentation, Machine Learning, Python",PhD,4,Transportation,2024-02-24,2024-03-17,1865,9.9,Neural Networks Co
AI00126,Data Engineer,143096,USD,EN,FT,South Korea,S,South Korea,0,"Docker, Kubernetes, PyTorch, Python, TensorFlow",Master,11,Healthcare,2024-12-25,2025-01-24,1561,8.7,Future Systems
AI00127,AI Product Manager,206958,USD,SE,FT,Denmark,L,Denmark,34,"Agile, Stakeholder Communication, Project Management, Strategy, Roadmapping",Master,5,Consulting,2024-12-04,2025-01-11,1527,8.1,DeepTech Ventures
AI00128,Research Scientist,71011,USD,SE,CT,Switzerland,S,Switzerland,0,"Mathematics, PyTorch, Experiment Design, Deep Learning",Master,0,Transportation,2024-11-04,2024-12-02,1991,7.6,Machine Intelligence Group
AI00129,AI Product Manager,96944,USD,MI,FL,Ireland,S,Ireland,15,"Project Management, Stakeholder Communication, Strategy, Roadmapping, Agile",Associate,17,Technology,2024-08-24,2024-09-15,1463,7.8,Neural Networks Co
AI00130,AI Software Engineer,55592,USD,MI,FL,Austria,L,Austria,92,"TensorFlow, Docker, Kubernetes",Bachelor,1,Consulting,2025-03-18,2025-04-12,1159,7.0,Smart Analytics
AI00131,AI Solutions Engineer,132547,EUR,EX,PT,Netherlands,M,Finland,11,"Python, Kubernetes, AWS",PhD,5,Technology,2024-08-03,2024-10-15,2352,8.5,AI Innovations
AI00132,AI Software Engineer,41263,USD,SE,PT,South Korea,L,France,14,"Docker, Linux, TensorFlow, PyTorch",Bachelor,0,Media,2025-03-02,2025-03-30,629,10.0,Machine Intelligence Group
AI00133,Autonomous Systems Engineer,55567,USD,SE,FT,Canada,M,Canada,52,"Kubernetes, Python, Linux, TensorFlow",Associate,1,Consulting,2024-03-28,2024-05-01,1522,5.1,Predictive Systems
AI00134,AI Governance Manager,145936,EUR,SE,CT,France,M,France,0,"Agile, Project Management, Strategy",PhD,13,Media,2025-02-03,2025-02-23,2141,5.9,Algorithmic Solutions
AI00135,AI Infrastructure Engineer,257630,GBP,EN,PT,United Kingdom,M,United Kingdom,30,"CI/CD, Kubernetes, AWS",Master,11,Education,2025-01-16,2025-02-15,858,8.2,Cognitive Computing
AI00136,Model Evaluation Engineer,48794,USD,SE,FT,Finland,S,Finland,2,"CI/CD, PyTorch, Docker, Kubernetes, SQL",Associate,2,Technology,2024-08-09,2024-09-16,951,7.3,Cloud AI Solutions
AI00137,AI Data Curator,171897,USD,SE,PT,Norway,S,India,92,"Python, Data Analysis, Machine Learning, AWS, Linux",Bachelor,8,Manufacturing,2024-12-29,2025-01-15,1632,7.8,Smart Analytics
